,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1423854,6/23/2017 15:09,6/23/2017 15:14,321,Wood St & Hubbard St,Damen Ave & Chicago Ave,Subscriber,Male,1992
955915,5/25/2017 18:19,5/25/2017 18:45,1610,Theater on the Lake,Sheffield Ave & Waveland Ave,Subscriber,Female,1992
9031,1/4/2017 8:27,1/4/2017 8:34,416,May St & Taylor St,Wood St & Taylor St,Subscriber,Male,1981
304487,3/6/2017 13:49,3/6/2017 13:55,350,Christiana Ave & Lawrence Ave,St. Louis Ave & Balmoral Ave,Subscriber,Male,1986
45207,1/17/2017 14:53,1/17/2017 15:02,534,Clark St & Randolph St,Desplaines St & Jackson Blvd,Subscriber,Male,1975
1473887,6/26/2017 9:01,6/26/2017 9:11,586,Clinton St & Washington Blvd,Canal St & Taylor St,Subscriber,Male,1990
961916,5/26/2017 9:41,5/26/2017 9:46,281,Ashland Ave & Lake St,Wood St & Hubbard St,Subscriber,Female,1983
65924,1/21/2017 14:28,1/21/2017 14:40,723,Larrabee St & Kingsbury St,Larrabee St & Armitage Ave,Customer,,
606841,4/20/2017 16:08,4/20/2017 16:20,689,Sedgwick St & Huron St,Halsted St & Blackhawk St (*),Subscriber,Male,1984
135470,2/6/2017 18:00,2/6/2017 18:09,493,Stetson Ave & South Water St,Clinton St & Washington Blvd,Subscriber,Male,1979
175805,2/15/2017 7:09,2/15/2017 7:14,301,Broadway & Barry Ave,Wilton Ave & Belmont Ave,Subscriber,Female,1993
71678,1/22/2017 15:15,1/22/2017 15:31,917,Southport Ave & Wellington Ave,Clark St & Schiller St,Subscriber,Male,1964
19061,1/8/2017 16:03,1/8/2017 16:07,277,Green St & Madison St,Ada St & Washington Blvd,Subscriber,Male,1961
1023296,5/30/2017 15:46,5/30/2017 15:52,354,Larrabee St & Kingsbury St,Clark St & Elm St,Subscriber,Male,1985
611000,4/20/2017 19:26,4/20/2017 19:35,515,Canal St & Madison St,Racine Ave (May St) & Fulton St,Subscriber,Male,1984
958716,5/25/2017 22:59,5/25/2017 23:07,466,Clark St & Armitage Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Female,1985
718598,5/3/2017 13:20,5/3/2017 13:31,635,Ada St & Washington Blvd,Daley Center Plaza,Subscriber,Male,1967
931608,5/23/2017 8:08,5/23/2017 8:11,164,Damen Ave & Cortland St,Marshfield Ave & Cortland St,Subscriber,Male,1990
1469705,6/25/2017 21:26,6/25/2017 21:33,434,State St & Pearson St,Clark St & Schiller St,Subscriber,Male,1987
475456,4/8/2017 11:37,4/8/2017 11:51,840,Adler Planetarium,Burnham Harbor,Customer,,
849468,5/16/2017 6:36,5/16/2017 6:59,1397,Michigan Ave & Oak St,Halsted St & Wrightwood Ave,Subscriber,Female,1992
1420915,6/23/2017 12:21,6/23/2017 12:32,713,Rush St & Cedar St,Halsted St & Willow St,Subscriber,Male,1985
161454,2/12/2017 15:24,2/12/2017 15:38,854,Clarendon Ave & Leland Ave,Lake Shore Dr & Belmont Ave,Subscriber,Male,1980
1413814,6/22/2017 19:14,6/22/2017 19:29,917,Bissell St & Armitage Ave,Orleans St & Chestnut St (NEXT Apts),Subscriber,Female,1989
717248,5/3/2017 9:41,5/3/2017 9:49,479,Wabash Ave & Roosevelt Rd,Halsted St & Roosevelt Rd,Subscriber,Male,1992
1451810,6/24/2017 20:47,6/24/2017 21:13,1559,Rush St & Cedar St,Halsted St & Roscoe St,Subscriber,Male,1968
385517,3/23/2017 9:38,3/23/2017 9:42,254,Loomis St & Jackson Blvd,Peoria St & Jackson Blvd,Subscriber,Female,1985
1186035,6/9/2017 7:48,6/9/2017 7:52,215,Canal St & Madison St,Clark St & Randolph St,Subscriber,Male,1974
512692,4/11/2017 18:49,4/11/2017 18:59,579,Clinton St & Lake St,Mies van der Rohe Way & Chestnut St,Subscriber,Male,1989
261757,2/25/2017 19:01,2/25/2017 19:08,411,Halsted St & Dickens Ave,Halsted St & Wrightwood Ave,Subscriber,Male,1970
952396,5/25/2017 16:06,5/25/2017 16:12,400,Clinton St & Madison St,Financial Pl & Congress Pkwy,Subscriber,Male,1965
1539334,6/30/2017 10:56,6/30/2017 11:40,2610,McCormick Place,Adler Planetarium,Customer,,
1359055,6/19/2017 17:43,6/19/2017 17:59,978,Larrabee St & Armitage Ave,Dearborn Pkwy & Delaware Pl,Subscriber,Female,1993
1187843,6/9/2017 9:08,6/9/2017 9:15,410,Halsted St & Diversey Pkwy,Sheffield Ave & Waveland Ave,Subscriber,Male,1984
389463,3/23/2017 20:50,3/23/2017 20:57,382,Ellis Ave & 55th St,Kimbark Ave & 53rd St,Subscriber,Female,1993
243879,2/22/2017 15:33,2/22/2017 15:54,1211,Streeter Dr & Grand Ave,Theater on the Lake,Customer,,
165328,2/13/2017 14:17,2/13/2017 14:22,327,University Ave & 57th St,Kimbark Ave & 53rd St,Subscriber,Female,1984
395803,3/24/2017 15:35,3/24/2017 15:46,615,Dearborn St & Erie St,State St & Van Buren St,Subscriber,Male,1989
720062,5/3/2017 16:27,5/3/2017 16:45,1087,Clark St & Elm St,Michigan Ave & Pearson St,Customer,,
93723,1/26/2017 19:45,1/26/2017 19:59,830,McClurg Ct & Erie St,Clinton St & Washington Blvd,Subscriber,Male,1977
1314009,6/16/2017 19:34,6/16/2017 20:16,2499,State St & Van Buren St,McClurg Ct & Erie St,Customer,,
601870,4/20/2017 7:47,4/20/2017 8:03,972,Indiana Ave & Roosevelt Rd,Wacker Dr & Washington St,Subscriber,Male,1992
814960,5/13/2017 14:39,5/13/2017 14:40,83,Humphrey Ave & Ontario St,Humphrey Ave & Ontario St,Subscriber,Male,1987
915409,5/22/2017 5:49,5/22/2017 5:51,92,Clark St & Congress Pkwy,LaSalle St & Jackson Blvd,Subscriber,Male,1967
1372709,6/20/2017 16:14,6/20/2017 16:42,1691,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,Customer,,
1319064,6/17/2017 10:41,6/17/2017 10:55,853,Fairbanks Ct & Grand Ave,Clinton St & Madison St,Subscriber,Male,1990
461905,4/6/2017 14:58,4/6/2017 15:04,342,Franklin St & Monroe St,Michigan Ave & Washington St,Subscriber,Male,1980
371076,3/20/2017 21:27,3/20/2017 21:39,698,Morgan St & Lake St,Larrabee St & Oak St,Subscriber,Male,1972
906322,5/21/2017 10:03,5/21/2017 10:18,862,McClurg Ct & Illinois St,McClurg Ct & Illinois St,Subscriber,Male,1990
